	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YER062C	gene-YER062C	16714.9921428558	7.89911471631617	0.408344670932006	19.3442336305925	2.27967951085563e-83	1.32722941122015e-79
gene-YDR536W	gene-YDR536W	10079.3711854062	7.87331794826206	0.411624122184563	19.1274454628095	1.49208894204609e-81	4.34347091029617e-78
gene-YHR094C	gene-YHR094C	8487.69369925911	7.88068341149119	0.431601954740388	18.259146708989	1.75004735606237e-74	3.39625856899838e-71
gene-YNL065W	gene-YNL065W	2107.50566064156	7.78431206413449	0.466350213021864	16.6919877953815	1.49895749404244e-62	2.18173263257877e-59
gene-YNL112W	gene-YNL112W	5368.66469074041	7.09356242100731	0.464338298791412	15.2767119134272	1.09319055168585e-52	1.27291107838301e-49
gene-YKL120W	gene-YKL120W	1725.41146116387	7.26824971186393	0.481422196433389	15.0974545122985	1.68306362431886e-51	1.6331327367974e-48
gene-YGR159C	gene-YGR159C	8014.05013625257	6.76659960494707	0.450494400889648	15.0203855843363	5.39927241663961e-51	4.49065200138226e-48
gene-YJL122W	gene-YJL122W	1290.54970456079	6.49438186283702	0.432832468953448	15.0043777412075	6.87325028788438e-51	4.91546896140822e-48
gene-YLR264W	gene-YLR264W	1387.30233485263	6.48309334177537	0.432271962037809	14.9977188231522	7.59862944910237e-51	4.91546896140822e-48
gene-YOR271C	gene-YOR271C	1051.34412954505	6.84340194844518	0.472189923465059	14.4929012847763	1.34346178593027e-47	7.821634517686e-45
gene-YJL108C	gene-YJL108C	954.32374497931	5.99513499665111	0.428401628702491	13.9941928204351	1.69139100555755e-44	8.95207130396003e-42
gene-YJL107C	gene-YJL107C	844.740106575767	6.17115510124676	0.44322689370896	13.9232415470235	4.57667198528294e-44	2.22044869152644e-41
gene-YOR360C	gene-YOR360C	1921.38815344341	5.65790857258649	0.407319988475227	13.8905743215953	7.22536316120575e-44	3.23585110188768e-41
gene-YOL124C	gene-YOL124C	593.523750233079	7.80335202608065	0.562324797383868	13.8769480954505	8.73862005895891e-44	3.63401757023277e-41
gene-YOL136C	gene-YOL136C	1160.94564786428	5.70835180275783	0.416864359117037	13.6935472604296	1.10957370162686e-42	4.30662539391438e-40
gene-YER127W	gene-YER127W	730.245073916102	5.97987052123521	0.441602790024205	13.541287909226	8.92109697889485e-42	3.24616416319536e-39
gene-YLR180W	gene-YLR180W	1929.54925814982	6.77992228030335	0.50216913859269	13.5012722990183	1.5369870404391e-41	5.26372855849204e-39
gene-YNL141W	gene-YNL141W	2898.07328951715	6.47223558697103	0.480679002562712	13.4647770184774	2.52078048084895e-41	8.15332442194587e-39
gene-YCR072C	gene-YCR072C	700.404327860938	5.89402477045716	0.439446422404614	13.4123853784167	5.11662199560894e-41	1.56784069781238e-38
gene-YML043C	gene-YML043C	521.696879226731	6.41298842404383	0.482001206377114	13.3049219362873	2.16719359669491e-40	6.30870055997889e-38
gene-YMR300C	gene-YMR300C	1595.08949948114	5.8138840961281	0.439151593942759	13.2389001345306	5.23092514188436e-40	1.45021172266908e-37
gene-YEL026W	gene-YEL026W	2036.66255453629	5.36703911490874	0.409960647292804	13.091595864994	3.67798021061862e-39	9.73327308464619e-37
gene-YOR359W	gene-YOR359W	477.493801886549	6.35605130108872	0.48636469399239	13.0684882755659	4.98462684287213e-39	1.26176075996528e-36
gene-YHR066W	gene-YHR066W	1304.52790140049	5.58223127844115	0.428079814515006	13.0401646822931	7.23007133803653e-39	1.7538948054187e-36
gene-YGR079W	gene-YGR079W	1513.01521897919	5.32740473723104	0.409675287061964	13.0039690102793	1.16154844383312e-38	2.70501401599857e-36
gene-YIR012W	gene-YIR012W	1537.95165811582	5.33108520415489	0.414770895489372	12.8530841052985	8.26482582746262e-38	1.85068522951874e-35
gene-YOL041C	gene-YOL041C	1899.68573203982	5.68884919976693	0.443134164223545	12.8377580856012	1.00749979464144e-37	2.17246807570462e-35
gene-YJL148W	gene-YJL148W	1276.76299131147	5.22555722664584	0.408145564635547	12.8031704358027	1.57391715626319e-37	3.27262345848725e-35
gene-YLR327C	gene-YLR327C	14473.3553374193	-5.0260010941328	0.393057834900206	-12.7869250982082	1.93998838821729e-37	3.89469392972451e-35
gene-YOL151W	gene-YOL151W	10475.7563939698	5.97967221842143	0.46864824501209	12.7594038429978	2.76307581659166e-37	5.36220913473222e-35
gene-YDL063C	gene-YDL063C	1077.99701259242	5.55116516068496	0.436904478409772	12.7056723723453	5.49947139057559e-37	1.03283620761068e-34
gene-YBL028C	gene-YBL028C	857.304475284179	5.39078099489566	0.424482222410863	12.6996625778072	5.93851926862986e-37	1.08043934943634e-34
gene-YOL080C	gene-YOL080C	382.665510780995	6.25110999293628	0.492464707759907	12.6935187322782	6.42337566802796e-37	1.13323918603815e-34
gene-YML018C	gene-YML018C	801.595193306137	5.83657859336277	0.460718397304942	12.6684296253523	8.84677257144111e-37	1.51487970326265e-34
gene-YNR060W	gene-YNR060W	1988.44517465244	6.43073937722844	0.509123885658048	12.630991313473	1.424719792918e-36	2.36991960981959e-34
gene-YHR196W	gene-YHR196W	1194.87259157115	5.15731268102239	0.408568489728757	12.6228840712759	1.57929579251032e-36	2.55407225110974e-34
gene-YBL039C	gene-YBL039C	2042.49057963351	6.18390891184607	0.494687888181336	12.5006272835596	7.40645455796433e-36	1.16541563341806e-33
gene-YPL212C	gene-YPL212C	1384.10877758188	5.22655389968251	0.418860057721717	12.4780432111647	9.83746152401631e-36	1.50720265770587e-33
gene-YLR264C-A	gene-YLR264C-A	399.879662361053	6.38186684737898	0.513647757887689	12.4245978871271	1.92190359770921e-35	2.86905711432385e-33
gene-YJR063W	gene-YJR063W	779.104364394391	5.28224521324311	0.425787341873527	12.4058296096837	2.42982937001123e-35	3.53661664805135e-33
gene-YDR037W	gene-YDR037W	4849.49149753635	5.21264900374412	0.423287001723228	12.3146918816857	7.55029839773551e-35	1.07214237247844e-32
gene-YNL182C	gene-YNL182C	617.099700338547	5.51156934798701	0.452967939375222	12.1676809082539	4.62023328901609e-34	6.4045233830123e-32
gene-YDR449C	gene-YDR449C	838.999812636533	5.17862403878227	0.427333107512367	12.1184713932617	8.43170813780276e-34	1.14161406461134e-31
gene-YMR093W	gene-YMR093W	863.536741166258	5.18653852000967	0.429776842880831	12.0679804087253	1.559137961858e-33	2.06302300316757e-31
